beets,0000000023,98,1.23,12122021
Oranges,00002020,1000,1.99,02012017
RiceCrunchies,00002228,1,4.99,01012017
CocoaCrunchies,0002222,22,5.99,01122019
Bananas,10006666,5,1.56,10102017
Apples,11112000,33,.99,03042017
HotChocolateMix,11113000,3,4.99,10112017
raisons,1234567890,9,1.99,05162017
crackers,1234567891,8,2.99,05162018
potatoChips,1234567892,9,3.99,10162017
toiletPaper,1234567893,10,4.99,05192017
candy,1234567894,9,.99,05162020
coffee,1234567895,9,4.99,12162017
tea,1234567896,35,4.53,11222019
sugar,1234567897,200,4.44,12122021
CheeseCurlz,22221000,18,2.95,09302017
Milk,33330909,1,2.99,09152017
Coconuts,40404444,3,3.25,06302018
