beets,0000000023,98,1.23,12122021
CocoaCrunchies,000002222,14,5.99,01122019
bagels,0001230891,32,1.02,05052017
Apples,0011112000,22,.99,03042017
Milk,0033330909,24,2.99,09152017
CornCrunchies,0040405555,27,1.00,06202017
Pickles,0050502222,20,1.50,07012019
raisons,1234567890,9,1.99,05162017
crackers,1234567891,8,2.99,05162018
potatoChips,1234567892,9,3.99,10162017
toiletPaper,1234567893,10,4.99,05192017
candy,1234567894,9,.99,05162020
coffee,1234567895,8,4.99,12162017
tea,1234567896,35,4.53,11222019
sugar,1234567897,200,4.44,12122021
peanuts,98709870987,32,2.33,05052017
